Forecasted Date,Forecasted Prices
2023-08-05,684.1768510878263
2023-08-06,684.6832653109926
2023-08-07,685.1047622244653
2023-08-08,685.796650850905
2023-08-09,686.8125263645061
2023-08-10,687.2169902057761
2023-08-11,688.1380109421184
2023-08-12,689.3083050930979
2023-08-13,690.2074812569117
2023-08-14,690.9204083679058
2023-08-15,691.8017111928837
2023-08-16,692.906345766608
2023-08-17,693.3022530282233
2023-08-18,694.1226078275815
2023-08-19,695.1070456541698
2023-08-20,695.7436146122285
2023-08-21,696.1269185985994
2023-08-22,696.6223607194358
2023-08-23,697.2964462172113
2023-08-24,697.2291502083784
2023-08-25,697.565874719735
2023-08-26,698.058384782238
2023-08-27,698.2064784039904
2023-08-28,698.1158633780606
2023-08-29,698.16215647953
2023-08-30,698.4209701923857
2023-08-31,697.9800973371417
2023-09-01,697.9913222317384
2023-09-02,698.2112512612246
2023-09-03,698.1429196935295
2023-09-04,697.8936485682107
2023-09-05,697.8390669270943
2023-09-06,698.0532631044136
2023-09-07,697.6210729363628
2023-09-08,697.6900300022432
2023-09-09,698.0113663482292
2023-09-10,698.0818153313954
2023-09-11,698.0016845847682
2023-09-12,698.139108084385
2023-09-13,698.5604344619768
2023-09-14,698.3427527449567
2023-09-15,698.6260740367672
2023-09-16,699.1545512479289
2023-09-17,699.4184826039335
2023-09-18,699.5125616057848
2023-09-19,699.8002778258838
2023-09-20,700.3444219296799
2023-09-21,700.2196932913401
2023-09-22,700.5649269104435
2023-09-23,701.1243209806912
2023-09-24,701.3894111344323
2023-09-25,701.4572553743982
2023-09-26,701.6947364013016
2023-09-27,702.1689379698246
2023-09-28,701.959597700391
2023-09-29,702.211157809302
2023-09-30,702.6738004214667
2023-10-01,702.8452192074838
2023-10-02,702.8285973164344
2023-10-03,702.996704347029
2023-10-04,703.4220749293728
2023-10-05,703.1892770257729
2023-10-06,703.4467966799436
2023-10-07,703.9479305886701
2023-10-08,704.1924422644729
2023-10-09,704.2844549983643
2023-10-10,704.5964967310048
2023-10-11,705.1996608394579
2023-10-12,705.1758914203781
2023-10-13,705.669919303487
2023-10-14,706.430238727413
2023-10-15,706.9508781054695
2023-10-16,707.3294349221205
2023-10-17,707.931285966341
2023-10-18,708.8199323863066
2023-10-19,709.0694831316297
